# MAC address prefix -> vendor name, used by lsnet.
#
# Derived from Wireshark's "manuf" database
# (https://www.wireshark.org/download/automated/data/manuf), which Wireshark
# generates from the IEEE OUI registries (https://standards-oui.ieee.org/).
# Vendor names were shortened by scripts/update-oui.py.
#
# Wireshark: Copyright 1998 Gerald Combs <gerald@wireshark.org> and contributors.
# SPDX-License-Identifier: GPL-2.0-or-later
#
# Format: one assignment per line, HEXPREFIX, a tab, then the vendor name.
# HEXPREFIX is 6, 7 or 9 hex digits (24, 28 or 36-bit assignments).
000000	Officially Xerox but 0:0
8C1F64FE0	Potter Electric Signal
8C1F64FE1	SOREL
8C1F64FE2	VUV Analytics
8C1F64FE3	Power Electronics Espana
8C1F64FE5	Truenorth
8C1F64FE6	Cognicom
8C1F64FE9	Alzajel Modern Telecommu
8C1F64FEA	AKON
8C1F64FEB	Saijin Semiiconductor
8C1F64FEC	Newtec A/S
8C1F64FED	Televic Rail
8C1F64FEE	Leap Info Systems Pvt
8C1F64FEF	Kible
8C1F64FF2	Mitsubishi Electric Indi
8C1F64FF3	Fuzhou Tucsen Photonics
8C1F64FF4	SMS
8C1F64FF5	IQ Tools
8C1F64FF6	Ascon Tecnologic S.r.l
8C1F64FF8	Chamsys
8C1F64FF9	Vtron
8C1F64FFB	Taicang T&W
8C1F64FFC	Invendis Technologies In
8C1F94	RF Surgical System
8C20F1	OpenAI
8C210A	TP-Link
8C2114	Huawei Device
8C22D2	Hikvision Digital
8C2505	Huawei
8C255E	VoltServer
8C26AA	Apple
8C271D	QuantHouse
8C278A	Vocollect
8C2937	Apple
8C2A85	Amazon
8C2A8E	Ramaxel Memory
8C2AC1	Gsd Viet Nam
8C2DAA	Apple
8C2E72	Samsung
8C2F39	IBA Dosimetry
8C2FA6	Solid Optics
8C3066	Ubiquiti
8C31E2	Dayouplus
8C3223	JWIPC
8C3330	EmFirst
8C3357	HiteVision Digital Media
8C3396	Apple
8C3401	Oppo Mobile Telecommunic
8C3446	Huawei Device
8C34FD	Huawei
8C3579	QDIQO Sp. z o.o
8C3592	Shiyuan
8C367A	Palo Alto
8C37B7	Hosin Global
8C3957	Telink Micro
8C395C	Bit4id
8C3A7E	Universal
8C3AE3	LG Electronics (Mobile C
8C3B32	Microfan
8C3B4A	Universal Global Scienti
8C3BAD	Netgear
8C3C07	Skiva
8C3C4A	NAKAYO
8C3D16	Four Seas Global Link Ne
8C3DB1	H-IoT
8C3F44	GD Midea Air-Conditionin
8C41F2	RDA
8C41F4	IPmotion
8C426D	Huawei
8C4361	Hailo Digital Hub GmbH &
8C4435	BroadMobi Communication
8C444F	HUMAX
8C44A5	Cisco
8C44BB	Shen Zhen Tenda
8C4500	Murata
8C476E0	Chipsafer Pte
8C476E1	TelWare
8C476E2	HuiZhou MIKI Communicati
8C476E3	Satellite Communication
8C476E4	Juding
8C476E5	Square
8C476E6	Oxford Nanopore
8C476E7	Syng
8C476E8	IntelliVIX
8C476E9	Xertified
8C476EA	AU Optronics
8C476EB	Faravid Communication&Da
8C476EC	Edge
8C476ED	innolectric
8C476EE	Annapurna labs
8C477F	NambooSolution
8C47BE	Dell
8C4962	Roku
8C497A	Extreme
8C49B6	vivo Mobile Communicatio
8C49CF	Private
8C4AEE	Giga Tms
8C4B14	Espressif
8C4B59	3D Imaging & Simulations
8C4CAD	Evoluzn
8C4CDC	Planex
8C4DB9	Unmonday
8C4DEA	Cerio
8C4E46	Motorola Mobility LLC a
8C4EBB	Amazon
8C4F00	Espressif
8C501A	Private
8C5105	ireadygo Information
8C51090	TianJin JointOptic
8C51091	Amzetta
8C51092	PROCET Technology Co. Lt
8C51093	Ldrobot
8C51094	WOWOTO
8C51095	Heliox Automotive
8C51096	Avxav
8C51097	ENPLUG
8C51098	nerospec
8C51099	Frontmatec
8C5109A	Sernet (Suzhou)
8C5109B	Superhexa Century
8C5109C	SpotterRF
8C5109D	Surpedia
8C5109E	IROOTELLUCKY
8C5219	SHARP
8C5387	Huzhou Luxshare Precisio
8C53C3	Xiaomi Mobile Software
8C53D2	China Mobile Group Devic
8C53E6	WNC
8C53F7	A&D Engineering
8C541D	Lge
8C554A	Intel
8C55700	AST
8C55701	LLC Katusha Print
8C55702	Microvision
8C55703	ScandiNova
8C55704	Next Vision Tech(Ningbo)
8C55705	Private
8C55706	Joule Group Limites
8C55707	Eideal
8C55708	Nayax
8C55709	Neptronic
8C5570A	Fortune Brands Innovatio
8C5570B	Sernet (Suzhou)
8C5570C	Antronix Inc
8C5570D	EPSa Elektronik & Präzis
8C5570E	Johnson Health Tech. (Sh
8C55BB	Songwoo Information &
8C5646	LG
8C569D	Imaging Solutions
8C56C5	Nintendo
8C579B	WNC
8C57FD	LVX Western
8C5823	Sz Dji
8C5877	Apple
8C593C0	Fujian Chaozhi
8C593C1	Future Robot
8C593C2	Beida Jade Bird Universa
8C593C3	Chongqing beimoting tech
8C593C4	Guralp
8C593C5	Spectranetix
8C593C6	Qbic
8C593C7	OBO Pro.2
8C593C8	Nanonord A/S
8C593C9	Genis
8C593CA	ecom instruments
8C593CB	Scharfe-Sicht
8C593CC	Dantherm Cooling
8C593CD	Idro-Elettrica S.P.A
8C593CE	Tian-Power
8C5973	Zyxel
8C598B	C
8C59C3	ADB Italia
8C59DC	ASR Microelectronics (Sh
8C5A25	Commscope
8C5AC1	Huawei Device
8C5AF0	Exeltech Solar Products
8C5AF8	Xiaomi
8C5BF0	Commscope
8C5C20	Vantiva
8C5C53	AltoBeam
8C5CA1	d-broad
8C5D54	Kisi
8C5D60	UCI
8C5DB20	Npp Ntt
8C5DB21	Dayouplus
8C5DB22	F+
8C5DB23	Yuzhou Zhongnan lnformat
8C5DB24	CoreTigo
8C5DB25	Unite Audio
8C5DB26	SmartMore
8C5DB27	Cleartex s.r.o
8C5DB28	Phimax
8C5DB29	Issendorff
8C5DB2A	Scistor
8C5DB2B	Naddod
8C5DB2C	HEXIN
8C5DB2D	Guandong Yuhang Automati
8C5DB2E	Surbhi Satcom Pvt
8C5E4D	DragonWave Technologies
8C5EBD	Huawei Device
8C5F48	AUMOVIO
8C5FAD	Fiberhome Telecommunicat
8C5FDF	Railway Signal Factory
8C604F	Cisco
8C6078	Swissbit
8C60E7	Mpgio
8C6102	Baofengmojing
8C6120	EM Microelectronic
8C61A3	Commscope
8C640B	Beyond Devices d.o.o
8C6422	Sony
8C64A2	OnePlus Technology (Shen
8C64D4	Hyeco Smart
8C65A3	Silicon Laboratories
8C65EC	Tubitak Mam
8C6794	vivo Mobile Communicatio
8C683A	Huawei
8C6878	Nortek-AS
8C68C8	zte
8C6914	Freebox
8C6A3B	Samsung
8C6A8D	Vantiva
8C6AE4	Viogem
8C6BDB	Huawei Device
8C6D50	Mtc
8C6D77	Huawei
8C6DC4	Megapixel VR
8C6FB9	Silicon Laboratories
8C705A	Intel
8C7086	Gesellschaft für Sonder-
8C7112	Microchip
8C71F8	Samsung
8C736E	Fujitsu
8C73A0	Fiberhome Telecommunicat
8C73DA	Silicon Laboratories
8C763F	Commscope
8C76C1	Goden
8C7712	Samsung
8C7716	Longcheer Telecommunicat
8C7779	Arcadyan
8C78D7	Fast
8C7909	Hewlett Packard Enterpri
8C7967	zte
8C79F5	Samsung
8C7A00	Nokia
8C7A15	Ruckus Wireless
8C7A3D	Xiaomi
8C7AAA	Apple
8C7AB3	Shiyuan
8C7B9D	Apple
8C7BF0	Xufeng Development
8C7C92	Apple
8C7CB5	Foxconn
8C7CFF	Brocade
8C7EB3	Lytro
8C7F3B	Commscope
8C8126	Arcom
8C8172	Sichuan Tianyi Comheart
8C8283	Apple
8C82A8	Insigma
8C8394	Arcadyan
8C839D	Xinyupeng
8C83DF	Nokia
8C83E1	Samsung
8C83E8	Huawei
8C83FC	Axioma Metering UAB
8C8401	Private
8C8442	Cisco
8C8474	Broadcom
8C8580	Smart Innovation
8C8590	Apple
8C85C1	Hewlett Packard Enterpri
8C85E6	Cleondris
8C861E	Apple
8C862A	Huawei
8C86DD	TP-Link
8C8726	VAST Data
8C873B	Leica Camera
8C87D0	Uascent
8C8881	Cisco Meraki
8C897A	Augtek
8C89A5	Micro-Star INT'L
8C89FA	Hechuan
8C8A6E	Estun Automation Technol
8C8ABB	Orient View
8C8ACD	Huawei
8C8B48	Silicon Laboratories
8C8B5B	WNC
8C8B83	Texas Instruments
8C8C29	Espressif
8C8CAA	LCFC(Hefei)
8C8D28	Intel
8C8E0D	zte
8C8E4E	Baylan Olcu Aletleri San
8C8E76	taskit
8C8EF2	Apple
8C8F8B	China Mobile Chongqing b
8C8FE9	Apple
8C902D	TP-Link
8C90D3	Nokia
8C9109	Toyoshima Electric Techn
8C913A	Mellanox
8C91A4	Apple
8C9236	Aus.Linx
8C9246	Oerlikon Textile Gmbh&Co
8C9351	Jigowatts
8C938B	Realme Chongqing Mobile
8C941F	Cisco
8C9461	Cisco
8C946A	New H3C
8C94CC	Sfr
8C94CF	Encell
8C94DF	Espressif
8C965F	Shandong Zhongan
8C96A5	New H3C
8C97EA	Freebox
8C9806	Sei Robotics
8C986B	Apple
8C9885	Samsung
8C99E6	TCT mobile
8C9A8F	Sagemcom Broadband
8C9B2D	Plantronics
8C9F3B	Qingdao Hisense
8CA048	NeTopChip
8CA2F5	Huawei Device
8CA2FD	Starry
8CA399	Servercom (India) Privat
8CA3EC	Samsung
8CA401	New Chip Intelligence
8CA454	Private
8CA5A1	Oregano Systems - Design
8CA5CF	Huawei
8CA6820	AI SECURITY Co.Ltd
8CA6821	FightCamp
8CA6822	Lion Energy
8CA6823	Royal Way General
8CA6824	China Information Techno
8CA6825	Qstar
8CA6826	Huijue Network Communica
8CA6827	Anhui seeker
8CA6828	Schok
8CA6829	Barkodes Bilgisayar Sist
8CA682A	Schok
8CA682B	Pocketalk
8CA682C	Netskope
8CA682D	EFit partners
8CA682E	Texys
8CA6DF	TP-Link
8CA96D	Huawei
8CA96F	D&M
8CA982	Intel
8CA9FD	Copper Mountain
8CAAB5	Espressif
8CAACE	Xiaomi
8CAB8E	Feixun Communication
8CAE490	Ouman
8CAE491	H3 Platform
8CAE492	SEVERIN Elektrogeräte
8CAE493	Bertin
8CAE494	Jiangsu Sixingda Informa
8CAE495	Gati Information Technol
8CAE496	Chengdu BillDTE
8CAE497	Precitec Optronik
8CAE498	LLC Taipit - Measuring E
8CAE499	TTR
8CAE49A	Gigawave
8CAE49B	Guowang
8CAE49C	Parametric
8CAE49D	Larch
8CAE49E	Kanghai Information Syst
8CAE4C	Plugable
8CAE89	Y-cam Solutions
8CAEDB	Nagtech
8CB094	Airtech I&C
8CB0E9	Samsung
8CB50E	Cisco
8CB64F	Cisco
8CB6C5	Mimosa
8CB7F7	UniStrong Science &
8CB82C	IPitomy
8CB84A	Samsung Electro-Mechanic
8CB864	AcSiP
8CB87E	Intel
8CBA25	Union Man
8CBAFC	JOYNEXT
8CBD37	Phaten
8CBE24	Tashang Semiconductor(Sh
8CBE6F	Tianyi Telecom Terminals
8CBEBE	Xiaomi
8CBF9D	Xinyou Information
8CBFA6	Samsung
8CBFEA	Espressif
8CC121	Panasonic Corporation AV
8CC246	Apple
8CC573	Xsight Labs
8CC58C	Elsky
8CC5B4	Sagemcom Broadband
8CC5D0	Samsung
8CC5E1	Konka Telecommunication
8CC661	Current powered by GE
8CC681	Intel
8CC7AA	Radinet
8CC7C3	Netlink Ict
8CC7D0	ebang communication
8CC84B	Chongqing Fugui
8CC8CD	Samsung
8CC8F40	Guardtec
8CC8F41	Lanhomex Technology(Shen
8CC8F42	Dark Horse Connect
8CC8F43	Toho Denki Ind.Co
8CC8F44	ITECH
8CC8F45	KXWELL
8CC8F46	D-light Technolgy
8CC8F47	TableSafe
8CC8F48	Strongbyte Solutions
8CC8F49	Swift Navigation
8CC8F4A	Trilux Group Management
8CC8F4B	PTYPE
8CC8F4C	KSTAR Science and
8CC8F4D	Xinxunxintong Eletronics
8CC8F4E	Evaporcool Solutions
8CC9E9	Huawei Device
8CCB14	TBS
8CCBDF	Foxconn Interconnect
8CCD55	EM Microelectronic
8CCDA2	ACTP
8CCDE8	Nintendo
8CCDFE	AMPAK
8CCE4E	Espressif
8CCEFD	zhouhai
8CCF09	Dell EMC
8CCF5C	BEFEGA
8CCF8F	ITC
8CD066	Texas Instruments
8CD08B	WuXi Rigosys
8CD0B2	Xiaomi Mobile Software
8CD17B	CG Mobile
8CD1A6	eero
8CD2E9	Yokote Seiko
8CD3A2	VisSim
8CD48E	Itel Mobile
8CD54A	Taiyo Yuden
8CD628	Ikor Metering
8CD67F	EM Microelectronic
8CD9D6	Xiaomi
8CDB25	ESG Solutions
8CDC02	zte
8CDCD4	Hewlett Packard
8CDD0B	eero
8CDD30	Ruijie
8CDD8D	Wifly-City System
8CDE52	ISSC
8CDE99	Comlab
8CDEE6	Samsung
8CDEF9	Xiaomi Mobile Software
8CDF2C	vivo Mobile Communicatio
8CDF9D	NEC
8CE042	vivo Mobile Communicatio
8CE081	zte
8CE117	zte
8CE2DA	Circle Media
8CE38E	Kioxia
8CE468	Sageran
8CE4DB	MiaoMing Intelligent
8CE5C0	Samsung
8CE5EF	Huawei
8CE748	Hikvision Digital
8CE78C	DK
8CE7B3	Sonardyne
8CE807	Bouffalo Lab (Nanjing)
8CE9B4	Dahua
8CE9EE	Intel
8CE9FF	Dell
8CEA12	MiaoMing Intelligent
8CEA1B	Edgecore
8CEA48	Samsung
8CEA88	Chengdu Yocto Communicat
8CEBC6	Huawei
8CEC4B	Dell
8CEC7B	Apple
8CEDE1	Ubiquiti
8CEE17	Gyges Labs Pte.Ltd
8CEEC6	Precepscion
8CEEFD	zte
8CF0DF	Zhongyuan Yishang
8CF112	Motorola Mobility LLC a
8CF228	Mercury Communication
8CF319	Siemens Industrial Autom
8CF3E7	solidotech
8CF5A3	Samsung Electro-Mechanic
8CF681	Silicon Laboratories
8CF710	AMPAK
8CF773	Nokia
8CF813	Orange Polska
8CF8C5	Intel
8CF945	Power Automation pte
8CF957	RuiXingHengFang Network
8CF9C9	MESADA
8CFABA	Apple
8CFADD	Huawei
8CFCA0	Smart Device
8CFD15	Imagine Marketing Privat
8CFD18	Huawei
8CFD49	Espressif
8CFDDE	Sagemcom Broadband
8CFDF0	Qualcomm
8CFE57	Apple
8CFE74	Ruckus Wireless
8CFEB4	Vsoontech
90004E	Foxconn
9000DB	Samsung
900117	Huawei
90013B	Sagemcom Broadband
900218	Sky Uk
90027A	Sworix Techonlogy
90028A	Shidean Legrand Electron
9002A9	Dahua
900325	Huawei
90032E	Taicang T&W
900371	Quectel Wireless Solutio
900372	Longnan Junya Digital
9003B7	Parrot
900628	Samsung
9006DB	Huawei
9006F2	Texas Instruments
900917	Far-sighted mobile
9009D0	Synology
9009DF	Intel
900A1A	Taicang T&W
900A39	Wiio
900A3A	PSG Plastic Service
900A48	Samsung
900A62	Inventus Power Eletronic
900A75	New H3C
900A84	Mellanox
900BC1	Sprocomm
900C0F	Flume-io
900CB4	Alinket
900CC8	Google
900D66	Digimore
900DCB	Commscope
900E83	Monico Monitoring
900E84	eero
900E9E	SuperElectron
900EB3	Amediatech
900F0C	Cloud Network Technology
901057	Intel
901195	Amazon
901234	YOUHUA
9012A1	We
9013DA	Athom
9014AF	Cambium
901506	Espressif
9015640	Fengzhushou
9015642	Pin Genie Inc.Dba Lockly
9015643	Clinton
9015644	Kontakt Micro-Location S
9015645	Relectrify
9015646	final
9015647	System
9015648	Heliogen
9015649	Annapurna labs
901564A	Bunka Shutter
901564B	AMP&MOONS'Automation
901564C	Linak A/S
901564D	Jiangsu Kangjie Data
901564E	Guiyag Electrlcal Contro
9016BA	Huawei
901711	Hagenuk Marinekommunikat
90173F	Huawei
90179B	Nanomegas
9017AC	Huawei
9017C8	Huawei
90185E	Apex Tool Group GmbH & C
90187C	Samsung Electro Mechanic
9018AE	Meridian
901900	Scs
901A4F	EM Microelectronic
901ACA	Commscope
901B0E	Fujitsu Technology Solut
901C9E	Alcatel-Lucent Enterpris
901D27	zte
901DFF	ZOWEE TECHNOLOGY(HEYUAN)
901EDD	Great Computer
901F09	Silicon Laboratories
901F94	TP-Link
90203A	BYD Precision Manufactur
902083	General Engine Managemen
9020C2	Hewlett Packard Enterpri
9020D7	Microsoft
902106	Sky Uk
90212E	Apption Labs
902155	HTC
902181	Huaqin Telecom
90235B	Amazon
9023B4	New H3C
9023EC	Availink
9025F2	Huawei
90272B	Algorab S.r.l
902759	Nanjing Jiahao
902778	Open Infrastructure
9027E4	Apple
9028F6	Wuhan Yangtze Optical
902962	Linkpower Microelectroni
902AEE	Xiaomi
902B34	Giga-Byte
902BD2	Huawei
902C09	Apple
902CC7	C-MAX Asia
902CFB	CanTops Co .Ltd
902D77	Edgecore Americas Networ
902E16	LCFC(Hefei)
902E1C	Intel
902E87	LabJack
9030D6	Quectel Wireless Solutio
90314B	AltoBeam
903196	Ip-Com
9031CD	Onyx Healthcare
90324B	Foxconn
90342B	Gatekeeper
9034FC	Foxconn
90356E	Vodafone Omnitel N.V
9035A2	Apple
9035EA	Silicon Laboratories
9036B2	Traton
903809	Ericsson
90380C	Espressif
9038DF	Changzhou Tiannengbo Sys
90395E	Silicon Laboratories
90395F	Amazon
903A72	Ruckus Wireless
903AA0	Nokia
903AE6	Parrot
903C1D	Hisense Visual
903C92	Apple
903CAE	Yunnan KSEC Digital
903CB3	Edgecore
903CDA	Fiberhome Telecommunicat
903D5A	Wision Technology Holdin
903D68	G-Printec
903D6B	Zicon
903DBD	Secure Meters
903E7F	Fiberhome Telecommunicat
903EAB	Commscope
903F86	New H3C
903FC3	Huawei Device
903FEA	Huawei
9041B2	Ubiquiti
9043E2	Cornami
904506	Tokyo Boeki Medisys
904528	Nintendo
9046A2	Tedipay UK
9046B7	Vadaro Pte
904716	Rorze
90473C	China Mobile Group Devic
904748	Sony Interactive Enterta
9047C2	Intel
904846	Texas Instruments
90486C	Ring
90489A	Foxconn
904992	YSTen
9049FA	Intel
904C02	vivo Mobile Communicatio
904C81	Hewlett Packard Enterpri
904CC5	Apple
904CE5	Foxconn
904D4A	Sagemcom Broadband
904DC3	Flonidan A/S
904DE2	Apple
904E2B	Huawei
904E910	Spirtech
904E911	Apollo Video
904E912	North Pole Engineering
904E913	Great Talent
904E914	Wrtnode
904E915	Enginko
904E916	Nuwa Robotics (HK) Limit
904E917	Ibm
904E918	CommandScape
904E919	CUTTER Systems spol. s r
904E91A	Kaertech
904E91B	JaWay Information
904E91C	Showtacle s.r.o
904E91D	SKODA ELECTRIC a.s
904E91E	Cloudynamo Internet
90505A	unGlue
90507B	Advanced PANMOBIL System
9050CA	Hitron
90513F	Elettronica Santerno
9051F8	Hewlett Packard Enterpri
9052BF	Sichuan Tianyi Comheart
905446	Tes Electronic Solutions
9054B7	Eltex Enterprise
9055AE	Ericsson EAB/RWI/K
9055DE	Fiberhome Telecommunicat
905607	Sichuan AI-Link
905671	Cisco
905682	Lenbrook Industries
905692	Autotalks
9056FC	Tecno Mobile
905851	Vantiva
90593C	Az-Technology Sdn Bhd
9059AF	Texas Instruments
905A08	Super Micro Computer
905C34	Sirius
905C44	Compal Broadband
905D7C	New H3C
905E44	Huawei
905F2E	TCT mobile
905F7A	Apple
905F8D	modas
9060F1	Apple
90610C	Fida International (S) P
9061AE	Intel
90623F	Apple
90633B	Samsung
90649B	Espressif
9064AD	Huawei
906560	EM Microelectronic
906584	Intel
906717	Alphion India Private
90671C	Huawei
9067B5	Alcatel-Lucent
9067F3	Alcatel Lucent
9068C3	Motorola Mobility LLC a
906976	Withrobot
906989	Samsung
906A94	huacheng network
906AEB	Microsoft
906C4B	Advance Security
906CAC	Fortinet
906D05	Bxb
906D62	Cambium
906DC8	DLG Automação Industrial
906EBB	Foxconn
906F18	Afero
906FA7	Funshion Online
906FA9	Nanjing Putian Telecommu
907025	Garea Microsys
907065	Texas Instruments
907069	Espressif
9070BF	Mimosa
9070D3	Fiberhome Telecommunicat
907240	Apple
907282	Sagemcom Broadband
90735A	Motorola Mobility LLC a
90742E	New H3C
90749D	IRay
9074AE	AzureWave
9074F2	Huawei
9075BC	Nokia Shanghai Bell
9075DE	Zebra
90769F	Mercury Communication
9077EE	Cisco
907841	Intel
9078B2	Xiaomi
907910	Integrated Device Techno
907990	Benchmark Electronics Ro
9079CF	zte
907A0A	Gebr. Bode GmbH &
907A28	Morncloud Information An
907A58	Zegna-Daidong
907ABE	Gsd Viet Nam
907ADA	China Dragon
907AF1	Wally
907BC6	Texas Instruments
907E30	Lars
907E43	zte
907EBA	Utek Technology (Shenzhe
907F61	Chicony
908060	Nilfisk A/S
90808F	Huawei Device
90812A	Apple
908158	Apple
908175	Samsung
908260	IEEE 1904.1 Working
9082C3	Quanta Computer
90834B	Yunyi Times Technology C
90837A	General Electric Water &
90837E	Fiberhome Telecommunicat
90840D	Apple
90842B	LEGO System A/S
90848B	HDR10+
90848E	Fujian Star-Net Communic
908674	Sichuan Tianyi Comheart
90869B	zte
908855	Cisco
9088A2	Ionics Technology Me Ltd
9088A90	zovoton
9088A91	Akarui Networks Pvt
9088A92	合肥乾盾智能科技有限公司
9088A93	Hollysys Automation
9088A94	asmote
9088A95	Shortcut Labs
9088A96	Skysolid Information Sec
9088A97	Wingtech Mobile
9088A98	Samway
9088A99	Nanjing Boswell Industri
9088A9A	Yi Tunnel(beijing)
9088A9B	UXV Technologies ApS
9088A9C	Rikom Technologies Sdn B
9088A9D	Remowireless Communicati
9088A9E	TeeJet
908938	Hefei Linkin
90895F	Weifang Goertek
908A80	Cisco
908C09	Total Phase
908C43	Apple
908C44	H.K Zongmu
908C63	GZ Weedong
908D1D	GH
908D6C	Apple
908D6E	Dell
908D78	D-Link
908FCF	UNO System
90903C	Trison
909060	Rsi Video
909164	ChongQing Lavid
90916E	nFore
90922C	Changzhi City Zhouyi Hen
9092B4	Diehl BGT Defence GmbH &
90935A	Commscope
90940A	Analog Devices
909497	Huawei
9094E4	D-Link
909507	Huawei
9096F3	Buffalo.Inc
9097D5	Espressif
9097F3	Samsung
909838	Huawei Device
909864	Impex-Sat GmbH&Co
909877	Vestel Elektronik San ve
909916	ELVEES NeoTek OJSC
909A4A	TP-Link
909A77	Texas Instruments
909B6F	Apple
909C4A	Apple
909D7D	Commscope
909DAC	Infinix mobility
909DE0	Newland Design + Assoc
909E24	ekey biometric
909F22	Zyxel
909F33	EFM
909F43	Accutron Instruments
90A0BE	Cannice
90A137	Splendidtel Communicatio
90A196	Private
90A1BA	PNetworks Electronics In
90A210	United Telecoms
90A25B	Apple
90A2DA	Gheo
90A365	HMD Global
90A46A	Sisnet
90A4DE	WNC
90A57D	Huawei Device
90A5AF	Huawei
90A62F	Naver
90A6BF	Quectel Wireless Solutio
90A783	Jsw Pacific
90A7BF	EM Microelectronic
90A7C1	Pakedge Device and Softw
90A822	Amazon
90A935	JWEntertainment
90A9F70	Versta
90A9F71	Chainway Information
90A9F72	Lingchen Acquisition Com
90A9F73	Etag-Technology
90A9F74	Lab-El Elektronika Labor
90A9F75	DOOGEE Hengtong
90A9F76	Eevin
90A9F77	Keruide Electrical
90A9F78	Baoding Forlinx Embedded
90A9F79	Zekler Safety
90A9F7A	Chi Geng
90A9F7B	Kranze Technology Soluti
90A9F7C	SkyLine
90A9F7D	Jiehezhi
90A9F7E	The Engineerix
90AAC3	Hitron
90AB96	Silicon Laboratories
90AC3F	BrightSign
90AC6D	Apple
90ADF7	vivo Mobile Communicatio
90ADFC	Telechips
90AE1B	TP-Link
90AF59	Choice IT Global
90AFD1	netKTI
90B021	Intel
90B0ED	Apple
90B11C	Dell
90B134	Commscope
90B141	Motorola Mobility LLC a
90B144	Samsung
90B176	Intel
90B1E0	Nebula Link
90B21F	Apple
90B339	Espressif
90B4DD	Zpt R&D
90B57F	iComm Semiconductor
90B622	Samsung
90B67A	Skyworth Digital
90B685	Weifang Goertek
90B686	Murata
90B790	Apple
90B832	Extreme
90B8D0	Joyent
90B8E0	Yanray
90B931	Apple
90B942	zte
90B97D	Johnson Outdoors Marine
90B9F9	Motorola Mobility LLC a
90BA09	Huawei
90BDE6	Quectel Wireless Solutio
90BFD9	Smart Innovation
90C115	Sony
90C119	Nokia
90C1C6	Apple
90C35F	Nanjing Jiahao
90C54A	vivo Mobile Communicatio
90C6820	Lencotion
90C6821	Photon Broadband
90C6822	ekey biometric
90C6823	Innovative
90C6824	Neone
90C6825	S.A.E.T. S.R.L
90C6826	Nanjing Jiexi
90C6827	Cinet
90C6828	Teletek
90C6829	Act
90C682A	Acorn
90C682B	Lachmann & Rink
90C682C	Li Seng
90C682D	PowerShield
90C682E	HuRong Communication Tec
90C682F	Private
90C710	zte
90C792	Commscope
90C7D8	zte
90C952	Durin
90C97E	Huawei
90C99B	Tesorion Nederland
90CAFA	Google
90CBA3	Tecno Mobile
90CC24	Synaptics
90CC7A	Huawei Device
90CCDF	Intel
90CD1F	Quectel Wireless Solutio
90CDB6	Foxconn
90CDE8	Apple
90CEB8	Texas Instruments
90CF15	Nokia
90CF6F	Dlogixs
90CF7D	Qingdao Hisense
90D092	HUMAX
90D11B	Palomar Medical
90D20B	Nokia Shanghai Bell
90D3CF	Askey Computer
90D432	zte
90D473	vivo Mobile Communicatio
90D529	Accton
90D689	Huahao Fangzhou
90D733	Huawei
90D74F	Bookeen
90D7BE	Wavelab Global
90D7EB	Texas Instruments
90D852	Comtec
90D8F3	zte
90D92C	Hug-Witschi
90DA4E	Avanu
90DA6A	FOCUS H&S
90DA72	Espressif
90DAF9	Siemens Rail Automation
90DB46	E-Lead
90DD5D	Apple
90DE80	Century Xinyang
90DF06	Ciena
90DF46	Tosun
90DF7D	Realme Chongqing Mobile
90DFB7	s.m.s smart microwave se
90DFFB	Homerider
90E0F0	IEEE 1722a Working
90E17B	Apple
90E202	Texas Instruments
90E2BA	Intel
90E2FC0	PEA (DBT-Technology)
90E2FC1	Yite
90E2FC2	Temwey Innovation
90E2FC3	Hisource Technology Deve
90E2FC4	Kangyong
90E2FC5	Totalone
90E2FC6	Sindoh Techno
90E2FC7	Fair Winds Digital
90E2FC8	bitsensing
90E2FC9	Huddly
90E2FCA	Power Engineering & Manu
90E2FCB	Dingsheng Intelligent
90E2FCC	Stanley Security
90E2FCD	Lanxum Computer
90E2FCE	DevCom spol. s r.o
90E317	Mellanox
90E468	Shiyuan
90E4B0	SHARP
90E5B1	Espressif
90E643	Tesla
90E6BA	ASUSTek COMPUTER
90E710	New H3C
90E7C4	HTC
90E868	AzureWave
90E95E	Cisco
90EA60	SPI Lasers
90EB48	XinMiaoLink
90EB50	Cisco
90EC50	C.O.B.O
90EC77	silicom
90ECE3	Nokia
90ECEA	Apple
90EEC7	Samsung
90EED9	Universal De Desarrollos
90EF4A	Liesheng
90EF68	Zyxel
90F005	Xi'an Molead
90F04C	Nokia Solutions (Shangha
90F052	MEIZU
90F157	Garmin
90F1AA	Samsung
90F1B0	Anheng Info&Tech
90F260	Honesty
90F278	Radius Gateway
90F305	HUMAX
90F3B7	Kirisun
90F3B8	China Mobile Group Devic
90F4210	Gemstone Lights
90F4211	BeEnergy SG
90F4212	Catvision
90F4213	Sinpeng(Guangzhou)Techno
90F4214	Sansap Technology Pvt
90F4215	DESKO
90F4216	Wuxi Sunning Smart Devic
90F4217	Senstar
90F4218	Mi-Jack Products
90F4219	Twunicom Life
90F421A	Proqualit Telecom LTDA
90F421B	Jiangsu MSInfo
90F421C	Acoba
90F421D	Taichitel Technology Sha
90F421E	Velan Studios
90F4C1	Rand McNally
90F510	Technologie Optic.ca
90F644	Huawei Device
90F652	TP-Link
90F721	IndiNatus (IndiNatus Ind
90F72F	Phillips Machine & Weldi
90F7B2	New H3C
90F80C	Samsung
90F82E	Amazon
90F861	u-blox
90F891	Kaon
90F964	Rawasi
90F970	Huawei
